"state","population"
"alabama",4863300
"alaska",741894
"arizona",6931071
"arkansas",2988248
"california",39250017
"colorado",5540545
"connecticut",3576452
"delaware",952065
"district of columbia",681170
"florida",20612439
"georgia",10310371
"hawaii",1428557
"idaho",1683140
"illinois",12801539
"indiana",6633053
"iowa",3134693
"kansas",2907289
"kentucky",4436974
"louisiana",4681666
"maine",1331479
"maryland",6016447
"massachusetts",6811779
"michigan",9928300
"minnesota",5519952
"mississippi",2988726
"missouri",6093000
"montana",1042520
"nebraska",1907116
"nevada",2940058
"new hampshire",1334795
"new jersey",8944469
"new mexico",2081015
"new york",19745289
"north carolina",10146788
"north dakota",757952
"ohio",11614373
"oklahoma",3923561
"oregon",4093465
"pennsylvania",12784227
"rhode island",1056426
"south carolina",4961119
"south dakota",865454
"tennessee",6651194
"texas",27862596
"utah",3051217
"vermont",624594
"virginia",8411808
"washington",7288000
"west virginia",1831102
"wisconsin",5778708
"wyoming",585501
